id,src_id,paper_id,paper_citation_APA,paper_doi,study_source,latitude,longitude,year,cropping_system_category,cropping_system_classification,CC_species,CC_types,cash_crop_specices,cash_crop_specices2,co2_cc,co2_cc_sd,co2_no_cc,co2_no_cc_sd,co2_n,co2_unit,tillage,residue_management,SOC_initial,SOC_initial_Unit,n2o_cc,n2o_no_cc,n2o_cc_sd,n2o_no_cc_sd,n2o_unit,FerStatus,N_fertilization,N_fertilization_unit,ch4_cc,ch4_no_cc,ch4_cc_sd,ch4_no_cc_sd,ch4_unit,duplicated_src,country,Trail/Commercial,region_state,specific_location,alt_m,soil_texture,prep,tem,dryland/non dryland,mixture_types,mixture_propotion,CC_plant_date,CC_end_date,CC.days,CC.duration,CC.aid,CC_plant_type,CC_plant_rate,CC_end_type,Plot_Area_ha,replications,nextMC_plant_date,MC_end_date,MC.days,MC _history,cash_crop_type,GHG-season,samplesize,SD,management combination,Initial_SOC,Initial_C_unit,Initial_TC,Initial_TN,Unnamed: 73,irrigation,irrigation_mm,BD,BD_unit,CEC,pH,soil_no3,soil_no3_unit,soil_nh4,soil_nh4_unit,soilTexture,TopographicalPosition,soilMoisture,soilMoisture_unite,WFPS,soilTem,cc_Dry_Biomass,ccBiomass_raw,CN_ratio,ccResidualsInput,cash_crop_season,manul checked & revised
34,42,27,"Zhaorigetu, Komatsuzaki, M., Sato, Y., Ohta, H., 2008. Relationships between fungal biomass and nitrous oxide emission in upland rice soils under no tillage and cover cropping systems. Microbes and Environments 23, 201-208.",https://doi.org/10.1264/jsme2.23.201,1,36.03,140.21,2003.0,Temperate upland annual cropland,Japan upland rice (non-flooded dryland),Rye,non-legume,Rice (upland) ,,,,,,,,nt,,,,2.9,1.6,,,N2O-N g/ha/day,yes,100,kg N ha−1,,,,,,,Japan,Trail,,Ibaraki Unviersiry Colleage of Agricuture,,,1606.0,17.5,,,,2003-10-15,2004-04-01,169.0,1.0,,,,,0.0054,3.0,2024-04-28,2024-10-06 00:00:00,161.0,,,July-Dec,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
35,43,27,"Zhaorigetu, Komatsuzaki, M., Sato, Y., Ohta, H., 2008. Relationships between fungal biomass and nitrous oxide emission in upland rice soils under no tillage and cover cropping systems. Microbes and Environments 23, 201-208.",https://doi.org/10.1264/jsme2.23.201,1,36.03,140.21,2003.0,Temperate upland annual cropland,Japan upland rice (non-flooded dryland),Rye,non-legume,Rice (upland) ,,,,,,,,t,,,,1.65,1.55,,,N2O-N g/ha/day,yes,100,kg N ha−1,,,,,,,Japan,Trail,,Ibaraki Unviersiry Colleage of Agricuture,,,1606.0,17.5,,,,2003-10-15,2004-04-01,169.0,1.0,,,,,0.0054,3.0,2024-04-28,2024-10-06 00:00:00,161.0,,,July-Dec,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
36,44,27,"Zhaorigetu, Komatsuzaki, M., Sato, Y., Ohta, H., 2008. Relationships between fungal biomass and nitrous oxide emission in upland rice soils under no tillage and cover cropping systems. Microbes and Environments 23, 201-208.",https://doi.org/10.1264/jsme2.23.201,1,36.03,140.21,2003.0,Temperate upland annual cropland,Japan upland rice (non-flooded dryland),Rye,non-legume,Rice (upland) ,,,,,,,,t,,,,1.63,1.49,,,N2O-N g/ha/day,yes,100,kg N ha−1,,,,,,,Japan,Trail,,Ibaraki Unviersiry Colleage of Agricuture,,,1606.0,17.5,,,,2003-10-15,2004-04-01,169.0,1.0,,,,,0.0054,3.0,2024-04-28,2024-10-06 00:00:00,161.0,,,July-Dec,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
37,45,27,"Zhaorigetu, Komatsuzaki, M., Sato, Y., Ohta, H., 2008. Relationships between fungal biomass and nitrous oxide emission in upland rice soils under no tillage and cover cropping systems. Microbes and Environments 23, 201-208.",https://doi.org/10.1264/jsme2.23.201,1,36.03,140.21,2004.0,Temperate upland annual cropland,Japan upland rice (non-flooded dryland),Hairy Vetch,legume,Rice (upland) ,,,,,,,,nt,,,,2.6,1.6,,,N2O-N g/ha/day,yes,100,kg N ha−1,,,,,,,Japan,Trail,,Ibaraki Unviersiry Colleage of Agricuture,,,971.0,16.2,,,,2004-10-29,2005-04-08,161.0,2.0,,,,,0.0054,3.0,2025-04-25,2025-10-12 00:00:00,170.0,,,July-Dec,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
38,46,27,"Zhaorigetu, Komatsuzaki, M., Sato, Y., Ohta, H., 2008. Relationships between fungal biomass and nitrous oxide emission in upland rice soils under no tillage and cover cropping systems. Microbes and Environments 23, 201-208.",https://doi.org/10.1264/jsme2.23.201,1,36.03,140.21,2004.0,Temperate upland annual cropland,Japan upland rice (non-flooded dryland),Hairy Vetch,legume,Rice (upland) ,,,,,,,,t,,,,1.55,1.55,,,N2O-N g/ha/day,yes,100,kg N ha−1,,,,,,,Japan,Trail,,Ibaraki Unviersiry Colleage of Agricuture,,,971.0,16.2,,,,2004-10-29,2005-04-08,161.0,2.0,,,,,0.0054,3.0,2025-04-25,2025-10-12 00:00:00,170.0,,,July-Dec,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
39,47,27,"Zhaorigetu, Komatsuzaki, M., Sato, Y., Ohta, H., 2008. Relationships between fungal biomass and nitrous oxide emission in upland rice soils under no tillage and cover cropping systems. Microbes and Environments 23, 201-208.",https://doi.org/10.1264/jsme2.23.201,1,36.03,140.21,2004.0,Temperate upland annual cropland,Japan upland rice (non-flooded dryland),Hairy Vetch,legume,Rice (upland) ,,,,,,,,t,,,,1.96,1.49,,,N2O-N g/ha/day,yes,100,kg N ha−1,,,,,,,Japan,Trail,,Ibaraki Unviersiry Colleage of Agricuture,,,971.0,16.2,,,,2004-10-29,2005-04-08,161.0,2.0,,,,,0.0054,3.0,2025-04-25,2025-10-12 00:00:00,170.0,,,July-Dec,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
47,59,41,"Thomas, B., Hao, X., Larney, F., Goyer, C., Chantigny, M., Charles, A., 2017. Non-legume cover crops can increase non-growing season nitrous oxide emissions. Soil Science Society of America Journal 81, 189–199.",https://doi.org/10.2136/sssaj2016.08.0269,1,49.63,-112.8,2014.0,Temperate upland annual cropland,Canada – Northern European/Canadian temperate arable,Rye,non-legume,Spring Wheat,,,,,,,,t,,,,0.52,0.19999999999999998,,,g N ha–1 d–1,yes,100,kg total N ha–1 manure,,,,,,,Canada,Trail,,Agriculture and Agri-Food Canada Lethbridge Research and Development Centre near Lethbridge,929.0,Clay Loam,929.0,5.9,,,,2014-08-15,,,2.0,yes (irrigate),, 90 kg seed ha–1 ,,0.04,4.0,,,,,,fall-spring,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
68,89,39,"Mitchell, D.C., Castellano, M.J., Sawyer, J.E. and Pantoja, J., 2013. Cover crop effects on nitrous oxide emissions: role of mineralizable carbon. Soil Science Society of America Journal, 77(5), pp.1765-1773.",https://doi.org/10.2136/sssaj2013.02.0074,1,42.02,-93.77,2010.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Rye,non-legume,Corn,,,,,,,,nt,,,,5.1,5.0,1.79633,0.71283,kg N2O-N ha−1 Cumulative,yes,225,kg N ha⁻¹,,,,,,,USA,Trail,Iowa,Iowa State University Agricultural Engineering and Agronomy Ames Research Farm in Boone County,,Loam,872.0,9.4,,,,2010-10-05,2011-05-02,,,,drill-seeded,,herbicide_glyphosate,0.009,4.0,2011-05-10,after soybean harvest,,corn–soybean rotation,,2011-4-11 to 2011-10-3,3,0.01,,,,,,,,530,,,,,21.2429378531073 ppm,,3.5 ppm,,,,,,,,6400.0,,25,3.0,,y
91,14,14,"Chirinda, N., Carter, M.S., Albert, K.R., Ambus, P., Olesen, J.E., Porter, J.R. and Petersen, S.O., 2010. Emissions of nitrous oxide from arable organic and conventional cropping systems on two soil types. Agriculture, Ecosystems & Environment, 136(3-4), pp.199-208.",https://doi.org/10.1016/j.agee.2009.11.012,2,56.5,9.567,,Temperate upland annual cropland,Denmark – Northern European/Canadian temperate arable,Ryegrass + Chicory + Clover,mixture,Winter W,,,,,,,,,,,,0.68,0.81,,,,,,,,,,,,,Denmark,,Foulum,,,,,,,legume + non-legume,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
92,15,14,"Chirinda, N., Carter, M.S., Albert, K.R., Ambus, P., Olesen, J.E., Porter, J.R. and Petersen, S.O., 2010. Emissions of nitrous oxide from arable organic and conventional cropping systems on two soil types. Agriculture, Ecosystems & Environment, 136(3-4), pp.199-208.",https://doi.org/10.1016/j.agee.2009.11.012,2,56.5,9.567,,Temperate upland annual cropland,Denmark – Northern European/Canadian temperate arable,Ryegrass + Chicory + Clover,mixture,Winter W,,,,,,,,,,,,0.71,0.54,,,,,,,,,,,,,Denmark,,Fakkebjerg,,,,,,,legume + non-legume,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
