id,src_id,paper_id,paper_citation_APA,paper_doi,study_source,latitude,longitude,year,cropping_system_category,cropping_system_classification,CC_species,CC_types,cash_crop_specices,cash_crop_specices2,co2_cc,co2_cc_sd,co2_no_cc,co2_no_cc_sd,co2_n,co2_unit,tillage,residue_management,SOC_initial,SOC_initial_Unit,n2o_cc,n2o_no_cc,n2o_cc_sd,n2o_no_cc_sd,n2o_unit,FerStatus,N_fertilization,N_fertilization_unit,ch4_cc,ch4_no_cc,ch4_cc_sd,ch4_no_cc_sd,ch4_unit,duplicated_src,country,Trail/Commercial,region_state,specific_location,alt_m,soil_texture,prep,tem,dryland/non dryland,mixture_types,mixture_propotion,CC_plant_date,CC_end_date,CC.days,CC.duration,CC.aid,CC_plant_type,CC_plant_rate,CC_end_type,Plot_Area_ha,replications,nextMC_plant_date,MC_end_date,MC.days,MC _history,cash_crop_type,GHG-season,samplesize,SD,management combination,Initial_SOC,Initial_C_unit,Initial_TC,Initial_TN,Unnamed: 73,irrigation,irrigation_mm,BD,BD_unit,CEC,pH,soil_no3,soil_no3_unit,soil_nh4,soil_nh4_unit,soilTexture,TopographicalPosition,soilMoisture,soilMoisture_unite,WFPS,soilTem,cc_Dry_Biomass,ccBiomass_raw,CN_ratio,ccResidualsInput,cash_crop_season,manul checked & revised
11,17,13,"Jarecki, M.K., Parkin, T.B., Chan, A.S., Kaspar, T.C., Moorman, T.B., Singer, J.W., Kerr, B.J., Hatfield, J.L. and Jones, R., 2009. Cover crop effects on nitrous oxide emission from a manure-treated Mollisol. Agriculture, ecosystems & environment, 134(1-2), pp.29-35.",https://doi.org/10.1016/j.agee.2009.05.008,1,42.05,-93.71,2005.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Rye + Oats ,mixture,Soybean,,,,,,,,,,21.0,,0.9,0.8,,,kg N2O–N ha−1,no,no manure,,,,,,,,USA,,Iowa,"Iowa State University, Agronomy and Agricultural Engineering Research Center",,Silty Clay Loam,835.0,8.7,,non-legume,70/30,2005-08-31,,,,,,,herbicide_glyphosate,0.008,4.0,2006-04-26,2005-09-21 00:00:00,,Soybean Corn Rotation,,CC growing (243),3,0.01,no manure,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,13,"Jarecki, M.K., Parkin, T.B., Chan, A.S., Kaspar, T.C., Moorman, T.B., Singer, J.W., Kerr, B.J., Hatfield, J.L. and Jones, R., 2009. Cover crop effects on nitrous oxide emission from a manure-treated Mollisol. Agriculture, ecosystems & environment, 134(1-2), pp.29-35.",https://doi.org/10.1016/j.agee.2009.05.008,1,42.05,-93.71,2005.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Rye + Oats,mixture,Soybean,,,,,,,,,,21.0,,5.5,7.5,,,kg N2O–N ha−1,no,no manure,,,,,,,,USA,,Iowa,"Iowa State University, Agronomy and Agricultural Engineering Research Center",,Silty Clay Loam,835.0,8.7,,non-legume,70/30,2005-08-31,,,,,,,herbicide_glyphosate,0.008,4.0,2006-04-26,2005-09-21 00:00:00,,Soybean Corn Rotation,,entire year (355 day),3,0.01,no manure,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19,13,"Jarecki, M.K., Parkin, T.B., Chan, A.S., Kaspar, T.C., Moorman, T.B., Singer, J.W., Kerr, B.J., Hatfield, J.L. and Jones, R., 2009. Cover crop effects on nitrous oxide emission from a manure-treated Mollisol. Agriculture, ecosystems & environment, 134(1-2), pp.29-35.",https://doi.org/10.1016/j.agee.2009.05.008,1,42.05,-93.71,2005.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Rye + Oats,mixture,Soybean,,,,,,,,,,21.0,,3.0,2.5,,,kg N2O–N ha−1,yes,manure 224 kg N ha−1,,,,,,,,USA,,Iowa,"Iowa State University, Agronomy and Agricultural Engineering Research Center",,Silty Clay Loam,835.0,8.7,,non-legume,70/30,2005-08-31,,,,,,,herbicide_glyphosate,0.008,4.0,2006-04-26,2005-09-21 00:00:00,,Soybean Corn Rotation,,CC growing (243),3,0.01,manure,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20,13,"Jarecki, M.K., Parkin, T.B., Chan, A.S., Kaspar, T.C., Moorman, T.B., Singer, J.W., Kerr, B.J., Hatfield, J.L. and Jones, R., 2009. Cover crop effects on nitrous oxide emission from a manure-treated Mollisol. Agriculture, ecosystems & environment, 134(1-2), pp.29-35.",https://doi.org/10.1016/j.agee.2009.05.008,1,42.05,-93.71,2005.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Rye + Oats,mixture,Soybean,,,,,,,,,,21.0,,8.5,8.0,,,kg N2O–N ha−1,yes,manure 224 kg N ha−1,,,,,,,,USA,,Iowa,"Iowa State University, Agronomy and Agricultural Engineering Research Center",,Silty Clay Loam,835.0,8.7,,non-legume,70/30,2005-08-31,,,,,,,herbicide_glyphosate,0.008,4.0,2006-04-26,2005-09-21 00:00:00,,Soybean Corn Rotation,,entire year (355 day),3,0.01,manure,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,25,28,"Tang, H.M., Xiao, X.P., Tang, W.G., Wang, K., Sun, J.M., Li, W.Y. and Yang, G.L., 2014. Effects of winter cover crops straws incorporation on CH4 and N2O emission from double-cropping paddy fields in southern China. PLoS One, 9(10), p.e108322.",https://doi.org/10.1371/journal.pone.0108322,1,28.19,113.08,2012.0,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",China paddy rice system,Ryegrass,non-legume,Paddy Rice,PADDY/FLOODED,,,,,,,,,,,0.264,0.11,,,,yes,,,49.908,34.606,,,,y,China,,Hunan,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,26,28,"Tang, H.M., Xiao, X.P., Tang, W.G., Wang, K., Sun, J.M., Li, W.Y. and Yang, G.L., 2014. Effects of winter cover crops straws incorporation on CH4 and N2O emission from double-cropping paddy fields in southern China. PLoS One, 9(10), p.e108322.",https://doi.org/10.1371/journal.pone.0108322,1,28.19,113.08,2012.0,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",China paddy rice system,chinese milk vetch,legume,Paddy Rice,PADDY/FLOODED,,,,,,,,,,,0.246,0.11,,,,yes,,,43.634,34.606,,,,y,China,,Hunan,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,27,28,"Tang, H.M., Xiao, X.P., Tang, W.G., Wang, K., Sun, J.M., Li, W.Y. and Yang, G.L., 2014. Effects of winter cover crops straws incorporation on CH4 and N2O emission from double-cropping paddy fields in southern China. PLoS One, 9(10), p.e108322.",https://doi.org/10.1371/journal.pone.0108322,1,28.19,113.08,2013.0,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",China paddy rice system,Ryegrass,non-legume,Paddy Rice,PADDY/FLOODED,,,,,,,,,,,0.288,0.122,,,,yes,,,54.512,38.085,,,,y,China,,Hunan,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28,28,"Tang, H.M., Xiao, X.P., Tang, W.G., Wang, K., Sun, J.M., Li, W.Y. and Yang, G.L., 2014. Effects of winter cover crops straws incorporation on CH4 and N2O emission from double-cropping paddy fields in southern China. PLoS One, 9(10), p.e108322.",https://doi.org/10.1371/journal.pone.0108322,1,28.19,113.08,2013.0,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",China paddy rice system,chinese milk vetch,legume,Paddy Rice,PADDY/FLOODED,,,,,,,,,,,0.266,0.122,,,,yes,,,47.882,38.085,,,,y,China,,Hunan,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,26,40,"Parkin, T.B., Kaspar, T.C., Jaynes, D.B., Moorman, T.B., 2016. Rye Cover Crop Effects on Direct and Indirect Nitrous Oxide Emissions. Soil Science Society of America Journal 80, 1551-1559.",https://doi.org/10.2136/sssaj2016.04.0120,3,42.05,-93.71,2004.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Winter Rye,non-legume,Corn,,,,,,,,nt,,24.5, g/kg,8.05,10.5,2.42,3.06,,yes,230.4,kg N ha−1,,,,,,y,USA,no sure,Iowa,"Iowa, Ames",,Clay Loam,748.0,9.5,,,,2004-10-06,2005-04-25,201.0,1.0,,broadcast seeded,2.5 × 10 6 seeds ha−1,herbicide_glyphosate,0.126,4.0,2005-05-06,2005-09-30 00:00:00,147.0,,,,3,0.01,,24.5, g/kg,,1.9,,,,,,,,,,,,,,,,,,,,,,,
25,28,40,"Parkin, T.B., Kaspar, T.C., Jaynes, D.B., Moorman, T.B., 2016. Rye Cover Crop Effects on Direct and Indirect Nitrous Oxide Emissions. Soil Science Society of America Journal 80, 1551-1559.",https://doi.org/10.2136/sssaj2016.04.0120,3,42.05,-93.71,2005.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Winter Rye,non-legume,Soybean,,,,,,,,nt,incorporated,24.5, g/kg,4.27,4.38,0.28,0.25,,no,0,kg N ha−1,,,,,,y,USA,no sure,Iowa,"Iowa, Ames",,Clay Loam,792.0,9.5,,,,2005-09-30,2006-04-21,203.0,2.0,,broadcast seeded,2.5 × 10 6 seeds ha−1,herbicide_glyphosate,0.126,4.0,2006-05-04,2006-10-20 00:00:00,169.0,,,,3,0.01,,24.5, g/kg,,1.9,,,,,,,,,,,,,,,,,,,,,,,
26,30,40,"Parkin, T.B., Kaspar, T.C., Jaynes, D.B., Moorman, T.B., 2016. Rye Cover Crop Effects on Direct and Indirect Nitrous Oxide Emissions. Soil Science Society of America Journal 80, 1551-1559.",https://doi.org/10.2136/sssaj2016.04.0120,3,42.05,-93.71,2006.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Winter Rye,non-legume,Corn,,,,,,,,nt,,24.5, g/kg,7.84,6.31,0.82,0.91,,yes,186,kg N ha−1,,,,,,y,USA,no sure,Iowa,"Iowa, Ames",,Clay Loam,763.0,9.5,,,,2006-10-24,2007-05-10,198.0,3.0,,broadcast seeded,2.5 × 10 6 seeds ha−1,herbicide_glyphosate,0.126,4.0,2007-05-22,2007-09-26 00:00:00,127.0,,,,3,0.01,,24.5, g/kg,,1.9,,,,,,,,,,,,,,,,,,,,,,,
