field,pipeline_step,extraction_method,n_scored,n_match,n_mismatch,n_pipeline_missed,n_gold_blank_pipeline_filled,accuracy
doi,4 (deterministic),regex,48,0,21,27,0,0.0
location,6a/6b (narrow LLM),narrow_llm,45,0,21,24,0,0.0
ghg_cc_sd,6a/6b (narrow LLM),narrow_llm,40,0,2,38,0,0.0
ghg_control_sd,6a/6b (narrow LLM),narrow_llm,40,0,2,38,0,0.0
fertilize_raw,6a/6b (narrow LLM),narrow_llm,29,0,13,10,6,0.0
ghg_unit,6a/6b (narrow LLM),narrow_llm,29,0,13,8,8,0.0
tillage_type_raw,6a/6b (narrow LLM),narrow_llm,29,0,1,22,6,0.0
year,6a/6b (narrow LLM),narrow_llm,29,0,13,8,8,0.0
cc_terminating_time_raw,6a/6b (narrow LLM),narrow_llm,27,0,0,19,8,0.0
ghg_n,6a/6b (narrow LLM),narrow_llm,20,0,0,0,20,0.0
cc_planting_time_raw,6a/6b (narrow LLM),narrow_llm,16,0,1,7,8,0.0
irrigation_raw,6a/6b (narrow LLM),narrow_llm,15,0,0,2,13,0.0
soil_texture_raw,6a/6b (narrow LLM),narrow_llm,22,1,12,1,8,0.045
ghg_cc_mean,6a/6b (narrow LLM),narrow_llm,65,6,15,44,0,0.092
ghg_control_mean,6a/6b (narrow LLM),narrow_llm,65,6,15,44,0,0.092
grain_crop_raw,6a/6b (narrow LLM),narrow_llm,54,7,14,33,0,0.13
cc_species,4 (deterministic),gazetteer,43,8,13,22,0,0.186
cc_duration_years,9/11 (pure computation),computed_downstream,27,6,7,6,8,0.222
latitude,4 (deterministic),regex,65,19,2,44,0,0.292
longitude,4 (deterministic),regex,65,19,2,44,0,0.292
cc_category,4 (deterministic),gazetteer,65,20,1,44,0,0.308
country,4 (deterministic),gazetteer,65,21,0,44,0,0.323
gas_type,6a/6b (narrow LLM),narrow_llm,65,21,0,44,0,0.323
