paper_id,gas_type,matched_pipeline_row,field,verdict
2,n2o,,doi,pipeline_missed
2,n2o,,latitude,pipeline_missed
2,n2o,,longitude,pipeline_missed
2,n2o,,year,both_blank
2,n2o,,country,pipeline_missed
2,n2o,,cc_species,both_blank
2,n2o,,cc_category,pipeline_missed
2,n2o,,tillage_type_raw,both_blank
2,n2o,,grain_crop_raw,pipeline_missed
2,n2o,,cc_planting_time_raw,both_blank
2,n2o,,cc_terminating_time_raw,both_blank
2,n2o,,irrigation_raw,both_blank
2,n2o,,fertilize_raw,both_blank
2,n2o,,cc_duration_years,both_blank
2,n2o,,location,pipeline_missed
2,n2o,,soil_texture_raw,both_blank
2,n2o,,gas_type,pipeline_missed
2,n2o,,ghg_cc_mean,pipeline_missed
2,n2o,,ghg_control_mean,pipeline_missed
2,n2o,,ghg_cc_sd,pipeline_missed
2,n2o,,ghg_control_sd,pipeline_missed
2,n2o,,ghg_unit,both_blank
2,n2o,,ghg_n,both_blank
2,n2o,,doi,pipeline_missed
2,n2o,,latitude,pipeline_missed
2,n2o,,longitude,pipeline_missed
2,n2o,,year,both_blank
2,n2o,,country,pipeline_missed
2,n2o,,cc_species,both_blank
2,n2o,,cc_category,pipeline_missed
2,n2o,,tillage_type_raw,both_blank
2,n2o,,grain_crop_raw,pipeline_missed
2,n2o,,cc_planting_time_raw,both_blank
2,n2o,,cc_terminating_time_raw,both_blank
2,n2o,,irrigation_raw,both_blank
2,n2o,,fertilize_raw,both_blank
2,n2o,,cc_duration_years,both_blank
2,n2o,,location,pipeline_missed
2,n2o,,soil_texture_raw,both_blank
2,n2o,,gas_type,pipeline_missed
2,n2o,,ghg_cc_mean,pipeline_missed
2,n2o,,ghg_control_mean,pipeline_missed
2,n2o,,ghg_cc_sd,pipeline_missed
2,n2o,,ghg_control_sd,pipeline_missed
2,n2o,,ghg_unit,both_blank
2,n2o,,ghg_n,both_blank
2,n2o,,doi,pipeline_missed
2,n2o,,latitude,pipeline_missed
2,n2o,,longitude,pipeline_missed
2,n2o,,year,both_blank
2,n2o,,country,pipeline_missed
2,n2o,,cc_species,both_blank
2,n2o,,cc_category,pipeline_missed
2,n2o,,tillage_type_raw,both_blank
2,n2o,,grain_crop_raw,pipeline_missed
2,n2o,,cc_planting_time_raw,both_blank
2,n2o,,cc_terminating_time_raw,both_blank
2,n2o,,irrigation_raw,both_blank
2,n2o,,fertilize_raw,both_blank
2,n2o,,cc_duration_years,both_blank
2,n2o,,location,pipeline_missed
2,n2o,,soil_texture_raw,both_blank
2,n2o,,gas_type,pipeline_missed
2,n2o,,ghg_cc_mean,pipeline_missed
2,n2o,,ghg_control_mean,pipeline_missed
2,n2o,,ghg_cc_sd,pipeline_missed
2,n2o,,ghg_control_sd,pipeline_missed
2,n2o,,ghg_unit,both_blank
2,n2o,,ghg_n,both_blank
2,n2o,,doi,pipeline_missed
2,n2o,,latitude,pipeline_missed
2,n2o,,longitude,pipeline_missed
2,n2o,,year,both_blank
2,n2o,,country,pipeline_missed
2,n2o,,cc_species,both_blank
2,n2o,,cc_category,pipeline_missed
2,n2o,,tillage_type_raw,both_blank
2,n2o,,grain_crop_raw,pipeline_missed
2,n2o,,cc_planting_time_raw,both_blank
2,n2o,,cc_terminating_time_raw,both_blank
2,n2o,,irrigation_raw,both_blank
2,n2o,,fertilize_raw,both_blank
2,n2o,,cc_duration_years,both_blank
2,n2o,,location,pipeline_missed
2,n2o,,soil_texture_raw,both_blank
2,n2o,,gas_type,pipeline_missed
2,n2o,,ghg_cc_mean,pipeline_missed
2,n2o,,ghg_control_mean,pipeline_missed
2,n2o,,ghg_cc_sd,pipeline_missed
2,n2o,,ghg_control_sd,pipeline_missed
2,n2o,,ghg_unit,both_blank
2,n2o,,ghg_n,both_blank
2,n2o,,doi,pipeline_missed
2,n2o,,latitude,pipeline_missed
2,n2o,,longitude,pipeline_missed
2,n2o,,year,both_blank
2,n2o,,country,pipeline_missed
2,n2o,,cc_species,both_blank
2,n2o,,cc_category,pipeline_missed
2,n2o,,tillage_type_raw,both_blank
2,n2o,,grain_crop_raw,pipeline_missed
2,n2o,,cc_planting_time_raw,both_blank
2,n2o,,cc_terminating_time_raw,both_blank
2,n2o,,irrigation_raw,both_blank
2,n2o,,fertilize_raw,both_blank
2,n2o,,cc_duration_years,both_blank
2,n2o,,location,pipeline_missed
2,n2o,,soil_texture_raw,both_blank
2,n2o,,gas_type,pipeline_missed
2,n2o,,ghg_cc_mean,pipeline_missed
2,n2o,,ghg_control_mean,pipeline_missed
2,n2o,,ghg_cc_sd,pipeline_missed
2,n2o,,ghg_control_sd,pipeline_missed
2,n2o,,ghg_unit,both_blank
2,n2o,,ghg_n,both_blank
6,n2o,,doi,pipeline_missed
6,n2o,,latitude,pipeline_missed
6,n2o,,longitude,pipeline_missed
6,n2o,,year,both_blank
6,n2o,,country,pipeline_missed
6,n2o,,cc_species,pipeline_missed
6,n2o,,cc_category,pipeline_missed
6,n2o,,tillage_type_raw,both_blank
6,n2o,,grain_crop_raw,pipeline_missed
6,n2o,,cc_planting_time_raw,both_blank
6,n2o,,cc_terminating_time_raw,both_blank
6,n2o,,irrigation_raw,both_blank
6,n2o,,fertilize_raw,both_blank
6,n2o,,cc_duration_years,both_blank
6,n2o,,location,pipeline_missed
6,n2o,,soil_texture_raw,both_blank
6,n2o,,gas_type,pipeline_missed
6,n2o,,ghg_cc_mean,pipeline_missed
6,n2o,,ghg_control_mean,pipeline_missed
6,n2o,,ghg_cc_sd,pipeline_missed
6,n2o,,ghg_control_sd,pipeline_missed
