tier2_common_name,tier3_family,tier4_functional_group,functional_group_raw_needs_review,cc_type_values_seen,yield_table_count,ghg_table_count,raw_variants_seen,tier3_family_method
Rye,NEEDS_CONFIRMATION,Non-legume,,Single Species,118,25,Rye,not_attempted
Oat,NEEDS_CONFIRMATION,Non-legume,,Single Species,82,3,Oat; oat,not_attempted
Hairy Vetch,NEEDS_CONFIRMATION,Legume,,Single Species,47,11,Hairy Vetch,not_attempted
Vetch,NEEDS_CONFIRMATION,Legume,,Single Species,42,13,Vetch; vetch,not_attempted
Oilseed Radish,NEEDS_CONFIRMATION,Non-legume,,Single Species,37,2,Oilseed Radish,not_attempted
Rapeseed,NEEDS_CONFIRMATION,Non-legume,,Single Species,26,2,Rapeseed,not_attempted
Ryegrass,NEEDS_CONFIRMATION,Non-legume,,Single Species,25,6,Ryegrass; ryegrass,not_attempted
Cereal Rye,NEEDS_CONFIRMATION,Non-legume,,Single Species,25,3,Cereal Rye,not_attempted
Triticale,NEEDS_CONFIRMATION,Non-legume,,Single Species,25,0,Triticale,not_attempted
Mixture,NEEDS_CONFIRMATION,Mixture,,Mixture,24,1,Mixture,not_attempted
Pea,NEEDS_CONFIRMATION,Legume,,Single Species,24,0,Pea,not_attempted
Wheat,NEEDS_CONFIRMATION,Non-legume,,Single Species,21,4,Wheat,not_attempted
Sunn Hemp,NEEDS_CONFIRMATION,Mixture,,Single Species,21,4,Sunn Hemp; Sunn hemp; Sunnhemp,not_attempted
Winter Rye,NEEDS_CONFIRMATION,Non-legume,,Single Species,19,20,Winter Rye,not_attempted
Subterranean Clover,NEEDS_CONFIRMATION,Legume,,Single Species,19,0,Subterranean Clover,not_attempted
Winter Wheat,NEEDS_CONFIRMATION,Non-legume,,Single Species,18,0,Winter Wheat,not_attempted
Mung Bean,NEEDS_CONFIRMATION,Legume,,Single Species,17,0,Mung Bean,not_attempted
Annual Ryegrass,NEEDS_CONFIRMATION,Non-legume,,Single Species,16,0,Annual Ryegrass,not_attempted
Pea + Canola,NEEDS_CONFIRMATION,Mixture,,Double Species,15,0,Pea & Canola; pea and canola,not_attempted
Crimson Clover,NEEDS_CONFIRMATION,Legume,,Single Species,13,0,Crimson Clover,not_attempted
cereal rye & forage radish & hairy vetch & Austrian winter pea,NEEDS_CONFIRMATION,Mixture,,Mixture,12,0,cereal rye & forage radish & hairy vetch & Austrian winter pea,not_attempted
Camelina,NEEDS_CONFIRMATION,Non-legume,,Single Species,12,0,Camelina,not_attempted
Soybean,NEEDS_CONFIRMATION,Legume,,Single Species,12,0,Soybean,not_attempted
Italian ryegrass,NEEDS_CONFIRMATION,Non-legume,,Single Species,11,0,Italian ryegrass,not_attempted
Barley,NEEDS_CONFIRMATION,Non-legume,,Single Species,10,12,Barley,not_attempted
oat and pea,NEEDS_CONFIRMATION,Mixture,,Double Species,10,0,oat and pea,not_attempted
"pea, oat, and canola",NEEDS_CONFIRMATION,Mixture,,Mixture,10,0,"pea, oat, and canola",not_attempted
"pea, oat, canola, hairy vetch, barley, and forage radish",NEEDS_CONFIRMATION,Mixture,,Mixture,10,0,"pea, oat, canola, hairy vetch, barley, and forage radish",not_attempted
Millet,NEEDS_CONFIRMATION,Non-legume,,Single Species,9,0,Millet,not_attempted
Cereal rye & Spring triticale & Grass,NEEDS_CONFIRMATION,Mixture,,Mixture,9,0,Cereal rye & Spring triticale & Grass,not_attempted
Red Clover,NEEDS_CONFIRMATION,Legume,,Single Species,8,2,Red Clover,not_attempted
Sudan grass,NEEDS_CONFIRMATION,Non-legume,,Single Species,8,0,Sudan grass,not_attempted
Winter Triticale,NEEDS_CONFIRMATION,Non-legume,,Single Species,8,0,Winter Triticale,not_attempted
Spring Barley,NEEDS_CONFIRMATION,Non-legume,,Single Species,8,0,Spring Barley,not_attempted
Black Oat,NEEDS_CONFIRMATION,Non-legume,,Single Species,7,0,Black Oat,not_attempted
Spring Wheat,NEEDS_CONFIRMATION,Non-legume,,Single Species,7,0,Spring Wheat,not_attempted
Mustard,NEEDS_CONFIRMATION,Non-legume,,Single Species,6,0,Mustard,not_attempted
Winter Rape,NEEDS_CONFIRMATION,Non-legume,,Single Species,6,0,Winter Rape,not_attempted
Rye + Vetch,NEEDS_CONFIRMATION,Mixture,,Double Species,6,0,Rye + Vetch,not_attempted
soybean and sudangrass,NEEDS_CONFIRMATION,Mixture,,Double Species,6,0,soybean and sudangrass,not_attempted
Pennycress,NEEDS_CONFIRMATION,Non-legume,,Single Species,6,0,Pennycress,not_attempted
Winter Camelina,NEEDS_CONFIRMATION,Non-legume,,Single Species,6,0,Winter Camelina,not_attempted
Pea & Oat,NEEDS_CONFIRMATION,Mixture,,Double Species,5,0,Pea & Oat,not_attempted
Pea & Oat & Canola,NEEDS_CONFIRMATION,Mixture,,Mixture,5,0,Pea & Oat & Canola,not_attempted
Huai Bean,NEEDS_CONFIRMATION,Legume,,Single Species,5,0,Huai Bean; Huai bean,not_attempted
Congo grass,NEEDS_CONFIRMATION,Non-legume,,Single Species,4,0,Congo grass,not_attempted
white clover,NEEDS_CONFIRMATION,Legume,,Single Species,4,0,white clover,not_attempted
white clover + ryegrass,NEEDS_CONFIRMATION,Mixture,,Double Species,4,0,white clover + ryegrass,not_attempted
red clover + ryegrass,NEEDS_CONFIRMATION,Mixture,,Double Species,4,0,red clover + ryegrass,not_attempted
"flax, oat, pea, rapeseed, and 10-species mixture",NEEDS_CONFIRMATION,Mixture,,Mixture,4,0,"flax, oat, pea, rapeseed, and 10-species mixture",not_attempted
Austrian  pea,NEEDS_CONFIRMATION,Legume,,Single Species,4,0,Austrian  pea,not_attempted
Rye + Clover,NEEDS_CONFIRMATION,Mixture,,Double Species,4,0,Rye + Clover,not_attempted
Oat + Trit,NEEDS_CONFIRMATION,Mixture,,Double Species,4,0,Oat + Trit,not_attempted
Oat + Trit + Pea,NEEDS_CONFIRMATION,Mixture,,Mixture,4,0,Oat + Trit + Pea,not_attempted
forage radish & buckwheat,NEEDS_CONFIRMATION,Mixture,,Double Species,4,0,forage radish & buckwheat,not_attempted
forage radish & hairy vetch & cereal rye,NEEDS_CONFIRMATION,Mixture,,Mixture,4,0,forage radish & hairy vetch & cereal rye,not_attempted
Mustard & Rye,NEEDS_CONFIRMATION,Mixture,,Double Species,4,0,Mustard & Rye,not_attempted
Mustard & Vetch,NEEDS_CONFIRMATION,Mixture,,Double Species,4,0,Mustard & Vetch,not_attempted
Mustard & Vetch & Rye,NEEDS_CONFIRMATION,Mixture,,Mixture,4,0,Mustard & Vetch & Rye,not_attempted
Winter Barley,NEEDS_CONFIRMATION,Non-legume,,Single Species,4,0,Winter Barley,not_attempted
Oilseed Radish + Rye,NEEDS_CONFIRMATION,Mixture,,Double Species,4,0,Oilseed radish & Rye; Oilseed radish+Rye,not_attempted
Alfalfa,NEEDS_CONFIRMATION,Legume,,Single Species,3,2,Alfalfa,not_attempted
Clover,NEEDS_CONFIRMATION,Legume,,Single Species,3,0,Clover,not_attempted
Common vetch,NEEDS_CONFIRMATION,Legume,,Single Species,3,0,Common vetch,not_attempted
phacelia +white mustard,NEEDS_CONFIRMATION,Mixture,,Double Species,3,0,phacelia +white mustard,not_attempted
Italian ryegrass +crimson clover +Persian clover,NEEDS_CONFIRMATION,Mixture,,Mixture,3,0,Italian ryegrass +crimson clover +Persian clover,not_attempted
hairy vetch +crimson clover,NEEDS_CONFIRMATION,Mixture,,Double Species,3,0,hairy vetch +crimson clover,not_attempted
