paper_id,paper_citation_APA,paper_doi
2,"Li, X., Petersen, S. O., Sørensen, P., & Olesen, J.E. (2015). Effects of contrasting catch crops on nitrogen availability and nitrous oxide emissions in an organic cropping system. Agriculture, Ecosystems and Environment, 199, 382-393.",http://doi.org/10.1016/j.agee.2014.10.016
6,"Sapkota, T.B., Shankar, V., Rai, M., Jat, M.L., Stirling, C.M, Singh, L.K., … Grewal, M.S. (2017). Reducing global warming potential through sustainable intensification of basmati rice-wheat systems in India. Sustainability, 9, 1044.",http://doi.org/10.3390/su9061044
8,"Epie, K.E., Saikkonen, L., Santanen, A., Jaakkola, S., Mäkelä, P., Simojoki, A. and Stoddard, F.L., 2015. Nitrous oxide emissions from perennial grass–legume intercrop for bioenergy use. Nutrient cycling in Agroecosystems, 101(2), pp.211-222.",https://doi.org/10.1007/s10705-015-9670-0
10,"Haque, M.M., Kim, S.Y., Ali, M.A., & Kim, P.J. (2015). Contribution of greenhouse gas emissions during cropping and fallow seasons on total global warming potential in mono-rice paddy soils. Plant Soil, 387, 251-264.",https://doi.org/10.1007/s11104-014-2287-2
11,"Weiler, D.A., Giacomini, S.J., Recous, S., Bastos, L.M.,  Pilecco, G.E.,  Dietrich, G., Aita, C. (2018). Trade-off between C and N recycling and N2O emissions of soils with summer cover crops in subtropical agrosystems. Plant Soil, 433, 213-225.",https://doi.org/10.1007/s11104-018-3831-2
14,"Chirinda, N., Carter, M.S., Albert, K.R., Ambus, P., Olesen, J.E., Porter, J.R. and Petersen, S.O., 2010. Emissions of nitrous oxide from arable organic and conventional cropping systems on two soil types. Agriculture, Ecosystems & Environment, 136(3-4), pp.199-208.",https://doi.org/10.1016/j.agee.2009.11.012
22,"Dietzel, R., Wolfe, D. and Thies, J.E., 2011. The influence of winter soil cover on spring nitrous oxide emissions from an agricultural soil. Soil Biology and Biochemistry, 43(9), pp.1989-1991.",https://doi.org/10.1016/j.soilbio.2011.05.017
27,"Zhaorigetu, Komatsuzaki, M., Sato, Y., Ohta, H., 2008. Relationships between fungal biomass and nitrous oxide emission in upland rice soils under no tillage and cover cropping systems. Microbes and Environments 23, 201-208.",https://doi.org/10.1264/jsme2.23.201
34,"Iqbal, J., Mitchell, D.C., Barker, D.W., Miguez, F., Sawyer, J.E., Pantoja, J. and Castellano, M.J., 2015. Does nitrogen fertilizer application rate to corn affect nitrous oxide emissions from the rotated soybean crop?. Journal of environmental quality, 44(3), pp.711-719.",https://doi.org/10.2134/jeq2014.09.0378
35,"Wegner, B.R., Chalise, K.S., Signh, S., Lai, L., Abagandura, G.O., Kumar, S., … & Jagadamma, S. (2018). Response of soil surface greenhouse gas fluxes to crop residue removal and cover crops under a corn-soybean rotation. Journal of Environmental Quality, 47, 1146-1154.",https://doi.org/10.2134/jeq2018.03.0093
39,"Mitchell, D.C., Castellano, M.J., Sawyer, J.E. and Pantoja, J., 2013. Cover crop effects on nitrous oxide emissions: role of mineralizable carbon. Soil Science Society of America Journal, 77(5), pp.1765-1773.",https://doi.org/10.2136/sssaj2013.02.0074
41,"Thomas, B., Hao, X., Larney, F., Goyer, C., Chantigny, M., Charles, A., 2017. Non-legume cover crops can increase non-growing season nitrous oxide emissions. Soil Science Society of America Journal 81, 189–199.",https://doi.org/10.2136/sssaj2016.08.0269
74,"Koga, N. (2013). Nitrous oxide emissions under a four-year crop rotation system in northern Japan: impacts of reduced tillage, composted cattle manure application and increased plant residue input. Soil Science and Plant Nutrition, 59(1), 56-68.",
80,"Liu, W., Hussain, S., Wu, L., Qin, Z., Li, X., Lu, J., ... & Geng, M. (2016). Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management. Environmental Science and Pollution Research, 23, 315-328.",
82,"Maeda, T., Sugihara, S., Nishigaki, T., Miyamaru, N., Yoshida, K., Yamamoto, A., ... & Tanaka, H. (2021). Nitrous oxide emissions from a sugarcane field with green manure and chemical fertilizer applications in Okinawa, Japan. Japan Agricultural Research Quarterly: JARQ, 55(1), 17-27.",
104,"Wang, Z., Zhai, L., Xiong, S., Li, X., Han, Y., Wang, G., ... & Li, Y. (2021). February orchid cover crop improves sustainability of cotton production systems in the Yellow River basin. Agronomy for Sustainable Development, 41, 1-16.",
107,"Xu, G., Liu, X., Wang, Q., Yu, X., & Hang, Y. (2017). Integrated rice-duck farming mitigates the global warming potential in rice season. Science of the Total Environment, 575, 58-66.",
123,"Schmatz, R., Recous, S., Weiler, D. A., Pilecco, G. E., Schu, A. L., Giovelli, R. L., & Giacomini, S. J. (2020). How the mass and quality of wheat and vetch mulches affect drivers of soil N2O emissions. Geoderma, 372, 114395.",
