issue_type,sheet,row_id_col1,data_source,paper_id,article_title,current_value,should_be
Cereal Rye mislabeled Legume,Yield Record,13,Dataset Two,8.0,Assessing The Impacts Of Cover Crops On Maize And Soybean Yield In The U.S. Midwestern Agroecosystems ,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,83,Dataset Two,44.0,Cover Crop Diversity For Weed Suppression And Crop Yield In A Corn-Soybean Production System In Tennessee,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,348,Dataset Two,134.0,Effect Of Multispecies Cover Crop Mixture On Soil Properties And Crop Yield,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,430,Dataset Two,214.0,Influence Of Cover Crops On Soybean Yield And Partial Returns As An Alternative To Double-Crop Soybean In Arkansas,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,643,Dataset Two,336.0,Split-Nitrogen Application With Cover Cropping Reduces Subsurface Nitrate Losses While Maintaining Corn Yields,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,644,Dataset Two,336.0,Split-Nitrogen Application With Cover Cropping Reduces Subsurface Nitrate Losses While Maintaining Corn Yields,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,645,Dataset Two,336.0,Split-Nitrogen Application With Cover Cropping Reduces Subsurface Nitrate Losses While Maintaining Corn Yields,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,806,Dataset One,,Establishment and Impact of Cover Crops Intersown into Corn ,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,975,Dataset One,,Tillage and Cover Cropping Effects on Soil Properties and Crop Production in Illinois,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,985,Dataset One,,Tillage and Cover Cropping Effects on Soil Properties and Crop Production in Illinois,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,987,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,988,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,989,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,990,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,991,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,992,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,993,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,994,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,995,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,996,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,997,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,998,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,999,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Cereal Rye mislabeled Legume,Yield Record,1000,Dataset One,,Use of N immobilization to tighten the N cycle in conventional agroecosystems,CCs Famaily = Legume,Non-legume (confirmed 2026-09-11)
Phacelia family mistag,Yield Record,(all rows where CCs Species = Phacelia),,,,Unnamed: 12 (family) = Brassicaceae,Boraginaceae (Phacelia is not a Brassica)
